CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME,SNAP_STATUS,mapped_x,mapped_y,edge_id,lane_id,lane_pos,snap_dist
1,40,50,0,0,1236,0,ok,5836.807,6166.909,483897834#0,483897834#0_0,115.731,42.903
2,45,68,10,0,1127,90,ok,6488.686,8513.672,175637233#0,175637233#0_0,13.491,3.258
3,45,70,30,0,1125,90,ok,6488.686,8774.424,175760666,175760666_0,40.585,48.553
4,42,66,10,0,1129,90,ok,6097.558,8252.921,173471112,173471112_0,117.812,40.552
5,42,68,10,727,782,90,ok,6097.558,8513.672,136232037#0,136232037#0_0,55.009,61.598
6,42,65,10,0,1130,90,ok,6097.558,8122.545,41866489#1,41866489#1_0,75.061,41.488
7,40,69,20,621,702,90,ok,5836.807,8644.048,50843196#0,50843196#0_0,66.087,32.701
8,40,66,20,0,1130,90,ok,5836.807,8252.921,50325553,50325553_0,192.349,38.583
9,38,68,20,255,324,90,ok,5576.055,8513.672,50843198#3,50843198#3_0,82.926,43.983
10,38,70,10,534,605,90,ok,5576.055,8774.424,240640943#1,240640943#1_0,89.122,7.386
11,35,66,10,357,410,90,ok,5184.928,8252.921,50843200#1,50843200#1_0,125.199,20.566
12,35,69,10,448,505,90,ok,5184.928,8644.048,-1273359359#1,-1273359359#1_0,48.785,37.882
13,25,85,20,0,1107,90,ok,3881.171,10730.06,1326094907#0,1326094907#0_0,1.603,281.64
14,22,75,30,30,92,90,ok,3490.043,9426.302,240034070#0,240034070#0_0,15.689,96.596
15,22,85,10,0,1106,90,ok,3490.043,10730.06,240640942#1,240640942#1_0,166.413,491.747
16,20,80,40,384,429,90,ok,3229.292,10078.181,1363506394#4,1363506394#4_0,172.979,83.24
17,20,85,40,0,1105,90,ok,3229.292,10730.06,240640942#1,240640942#1_0,166.413,557.794
18,18,75,20,99,148,90,ok,2968.54,9426.302,44472940#0,44472940#0_0,160.092,112.149
19,15,75,20,0,1110,90,ok,2577.413,9426.302,159538498#1,159538498#1_0,239.174,74.336
20,15,80,10,0,1106,90,ok,2577.413,10078.181,44472940#1,44472940#1_0,230.749,414.213
21,30,50,10,0,1136,90,ok,4533.049,6166.909,47267014#1,47267014#1_2,73.217,2.173
22,30,52,20,0,1135,90,ok,4533.049,6427.66,-226907342#1,-226907342#1_0,61.237,13.632
23,28,52,20,812,883,90,ok,4272.298,6427.66,1085107695,1085107695_0,172.621,47.715
24,28,55,10,732,777,90,ok,4272.298,6818.788,39659484,39659484_0,297.363,10.478
25,25,50,10,0,1131,90,ok,3881.171,6166.909,1068434254#0,1068434254#0_0,78.36,52.976
26,25,52,40,169,224,90,ok,3881.171,6427.66,-1092108194,-1092108194_0,204.313,1.213
27,25,55,10,0,1130,90,ok,3881.171,6818.788,240666074#4,240666074#4_0,71.214,71.699
28,23,52,10,261,316,90,ok,3620.419,6427.66,1064799814,1064799814_0,74.917,24.134
29,23,55,20,0,1128,90,ok,3620.419,6818.788,900390006#1,900390006#1_0,278.704,26.385
30,20,50,10,0,1126,90,ok,3229.292,6166.909,431876176,431876176_0,25.116,22.351
31,20,55,10,449,504,90,ok,3229.292,6818.788,1324706272,1324706272_0,89.0,79.664
32,10,35,20,0,1112,90,ok,1925.534,4211.273,610738423#1,610738423#1_0,56.941,19.554
33,10,40,30,0,1114,90,ok,1925.534,4863.151,-70662723#0,-70662723#0_0,178.664,7.197
34,8,40,40,87,158,90,ok,1664.783,4863.151,610738424#0,610738424#0_0,105.663,78.215
35,8,45,20,0,1113,90,ok,1664.783,5515.03,220775319,220775319_0,107.709,13.339
36,5,35,10,283,344,90,ok,1273.656,4211.273,227960847#0,227960847#0_0,0.0,45.041
37,5,45,10,665,716,90,ok,1273.656,5515.03,137220971,137220971_0,36.524,21.049
38,2,40,20,0,1106,90,ok,882.528,4863.151,1064853456,1064853456_0,454.036,149.138
39,0,40,30,479,522,90,ok,621.777,4863.151,-70662727#0,-70662727#0_0,447.216,376.09
40,0,45,20,567,624,90,ok,621.777,5515.03,68868377,68868377_0,1.594,416.729
41,35,30,10,264,321,90,ok,5184.928,3559.394,44121335#0,44121335#0_0,72.875,31.445
42,35,32,10,166,235,90,ok,5184.928,3820.145,9704194#4,9704194#4_0,437.29,76.066
43,33,32,20,68,149,90,ok,4924.177,3820.145,12088974#3,12088974#3_1,41.559,2.434
44,33,35,10,0,1129,90,ok,4924.177,4211.273,40299122#2,40299122#2_1,172.742,3.225
45,32,30,10,359,412,90,ok,4793.801,3559.394,72233381,72233381_0,211.609,62.141
46,30,30,10,541,600,90,ok,4533.049,3559.394,1119184638#0,1119184638#0_2,132.873,8.878
47,30,32,30,0,1125,90,ok,4533.049,3820.145,1207401650,1207401650_2,22.281,40.701
48,30,35,10,0,1127,90,ok,4533.049,4211.273,-240666072#0,-240666072#0_0,143.571,40.535
49,28,30,10,0,1122,90,ok,4272.298,3559.394,43763701#3,43763701#3_0,102.771,45.48
50,28,35,10,1001,1066,90,ok,4272.298,4211.273,40140141#0,40140141#0_0,200.319,0.66
51,26,32,10,0,1123,90,ok,4011.546,3820.145,760475718,760475718_0,94.063,101.445
52,25,30,10,0,1121,90,ok,3881.171,3559.394,24623782#1,24623782#1_0,89.705,65.129
53,25,35,10,0,1124,90,ok,3881.171,4211.273,-863774952#0,-863774952#0_0,406.42,20.88
54,44,5,20,286,347,90,ok,6358.31,300.0,47386145,47386145_0,460.764,14.919
55,42,10,40,0,1105,90,ok,6097.558,951.879,998773447#1,998773447#1_0,430.304,33.289
56,42,15,10,95,158,90,ok,6097.558,1603.758,441994803,441994803_0,179.032,86.106
57,40,5,30,385,436,90,ok,5836.807,300.0,47386111#1,47386111#1_0,1390.987,359.371
58,40,15,40,0,1111,90,ok,5836.807,1603.758,47386145,47386145_0,1887.467,29.201
59,38,5,30,471,534,90,ok,5576.055,300.0,446640439,446640439_0,477.99,278.007
60,38,15,10,0,1110,90,ok,5576.055,1603.758,-232359138,-232359138_0,76.012,11.394
61,35,5,20,0,1100,90,ok,5184.928,300.0,593755854,593755854_0,765.927,57.619
62,50,30,10,0,1123,90,ok,7140.564,3559.394,-72083131,-72083131_0,80.236,46.67
63,50,35,20,262,317,90,ok,7140.564,4211.273,1091984826#0,1091984826#0_0,45.792,32.945
64,50,40,50,0,1131,90,ok,7140.564,4863.151,50323222#1,50323222#1_0,67.551,44.527
65,48,30,10,632,693,90,ok,6879.813,3559.394,1119184635#1,1119184635#1_0,89.392,52.496
66,48,40,10,76,129,90,ok,6879.813,4863.151,10629709#0,10629709#0_0,126.563,82.339
67,47,35,10,826,875,90,ok,6749.437,4211.273,968332515#0,968332515#0_0,9.735,1.756
68,47,40,10,12,77,90,ok,6749.437,4863.151,-50323229,-50323229_0,30.277,18.03
69,45,30,10,734,777,90,ok,6488.686,3559.394,-238219473,-238219473_0,228.223,61.294
70,45,35,10,916,969,90,ok,6488.686,4211.273,-10738871#0,-10738871#0_0,97.019,66.953
72,95,35,20,0,1088,90,ok,13007.473,4211.273,237271809#3,237271809#3_0,18.618,1695.608
73,53,30,10,0,1122,90,ok,7531.692,3559.394,-49073765#0,-49073765#0_0,62.207,19.574
74,92,30,10,0,1090,90,ok,12616.346,3559.394,159942190,159942190_2,419.115,1738.666
75,53,35,50,353,412,90,ok,7531.692,4211.273,-33683398#2,-33683398#2_0,47.473,1.667
76,45,65,20,0,1130,90,ok,6488.686,8122.545,-768805831#1,-768805831#1_0,34.536,18.661
77,90,35,10,203,260,90,ok,12355.594,4211.273,237271809#2,237271809#2_0,234.864,1186.546
78,88,30,10,574,643,90,ok,12094.843,3559.394,159942190,159942190_2,419.115,1255.252
79,88,35,20,109,170,90,ok,12094.843,4211.273,237271809#2,237271809#2_0,192.257,1013.623
80,87,30,10,668,731,90,ok,11964.467,3559.394,159942190,159942190_2,419.115,1139.659
81,85,25,10,769,820,90,ok,11703.716,2907.515,666271191,666271191_1,1.593,1162.989
82,85,35,30,0,1098,90,ok,11703.716,4211.273,159942190,159942190_2,217.879,709.227
83,75,55,20,0,1110,90,ok,10399.958,6818.788,1020246871,1020246871_0,45.464,18.21
84,72,55,10,0,1113,90,ok,10008.831,6818.788,-47279971,-47279971_0,167.794,93.158
85,70,58,20,458,523,90,ok,9748.079,7209.915,40784659#0,40784659#0_0,140.829,61.176
86,68,60,30,0,1116,90,ok,9487.328,7470.666,40784659#1,40784659#1_0,128.053,287.62
87,66,55,10,0,1119,90,ok,9226.576,6818.788,47283778#2,47283778#2_0,28.343,13.454
88,65,55,20,85,144,90,ok,9096.201,6818.788,-40784652#0,-40784652#0_0,45.313,11.672
89,65,60,30,645,708,90,ok,9096.201,7470.666,10632130,10632130_0,34.026,254.763
90,63,58,10,0,1121,90,ok,8835.449,7209.915,-10632130,-10632130_0,96.711,82.94
91,60,55,10,0,1125,90,ok,8444.322,6818.788,1192417710,1192417710_0,9.694,58.893
92,60,60,10,0,1123,90,ok,8444.322,7470.666,145007016,145007016_0,820.181,100.377
93,67,85,20,368,441,90,ok,9356.952,10730.06,177743535#0,177743535#0_1,1.601,619.311
94,65,85,40,475,518,90,ok,9096.201,10730.06,177743535#0,177743535#0_1,1.601,455.12
95,65,82,10,0,1105,90,ok,9096.201,10338.933,177743535#0,177743535#0_1,1.601,208.354
96,62,80,30,0,1108,90,ok,8705.073,10078.181,-769600704,-769600704_0,221.227,79.6
97,60,80,10,0,1109,90,ok,8444.322,10078.181,24446738#3,24446738#3_0,140.711,55.963
98,60,85,30,0,1105,90,ok,8444.322,10730.06,1092600147#1,1092600147#1_0,619.281,65.331
99,58,75,20,0,1115,90,ok,8183.57,9426.302,24465651#1,24465651#1_0,80.534,50.556
100,55,80,10,743,820,90,ok,7792.443,10078.181,900386124#0,900386124#0_0,123.584,38.95
101,55,85,20,647,726,90,ok,7792.443,10730.06,240007894#1,240007894#1_0,335.524,108.228
