Using device: cuda
Loading data/METR-LA.h5...
Data shape: (34272, 207)
Normalized: mean=53.72, std=20.26
Starting training...
Epoch 1 | Train Loss: 0.2416 | Val Loss: 0.1377
Epoch 2 | Train Loss: 0.1342 | Val Loss: 0.1168
Epoch 3 | Train Loss: 0.1184 | Val Loss: 0.1118
Epoch 4 | Train Loss: 0.1120 | Val Loss: 0.1089
Epoch 5 | Train Loss: 0.1066 | Val Loss: 0.1074
Epoch 6 | Train Loss: 0.1035 | Val Loss: 0.1052
Epoch 7 | Train Loss: 0.1020 | Val Loss: 0.1075
Epoch 8 | Train Loss: 0.1013 | Val Loss: 0.1124
Epoch 9 | Train Loss: 0.1005 | Val Loss: 0.1029
Epoch 10 | Train Loss: 0.0983 | Val Loss: 0.1083
Epoch 11 | Train Loss: 0.0965 | Val Loss: 0.1022
Epoch 12 | Train Loss: 0.0959 | Val Loss: 0.1124
Epoch 13 | Train Loss: 0.0954 | Val Loss: 0.1088
Epoch 14 | Train Loss: 0.0952 | Val Loss: 0.0978
Epoch 15 | Train Loss: 0.0946 | Val Loss: 0.1077
Epoch 16 | Train Loss: 0.0943 | Val Loss: 0.1162
Epoch 17 | Train Loss: 0.0940 | Val Loss: 0.1049
Epoch 18 | Train Loss: 0.0941 | Val Loss: 0.1093
Epoch 19 | Train Loss: 0.0932 | Val Loss: 0.1075
Epoch 20 | Train Loss: 0.0934 | Val Loss: 0.1199
Epoch 21 | Train Loss: 0.0927 | Val Loss: 0.1077
Epoch 22 | Train Loss: 0.0927 | Val Loss: 0.1059
Epoch 23 | Train Loss: 0.0924 | Val Loss: 0.1140
Epoch 24 | Train Loss: 0.0922 | Val Loss: 0.1057
Epoch 25 | Train Loss: 0.0922 | Val Loss: 0.1110
Epoch 26 | Train Loss: 0.0914 | Val Loss: 0.1085
Epoch 27 | Train Loss: 0.0913 | Val Loss: 0.1101
Epoch 28 | Train Loss: 0.0915 | Val Loss: 0.1029
Epoch 29 | Train Loss: 0.0910 | Val Loss: 0.1088
Epoch 30 | Train Loss: 0.0910 | Val Loss: 0.1157
Epoch 31 | Train Loss: 0.0909 | Val Loss: 0.1126
Epoch 32 | Train Loss: 0.0910 | Val Loss: 0.1081
Epoch 33 | Train Loss: 0.0908 | Val Loss: 0.1115
Epoch 34 | Train Loss: 0.0908 | Val Loss: 0.1129
Epoch 35 | Train Loss: 0.0904 | Val Loss: 0.1135
Epoch 36 | Train Loss: 0.0904 | Val Loss: 0.1097
Epoch 37 | Train Loss: 0.0905 | Val Loss: 0.1155
Epoch 38 | Train Loss: 0.0903 | Val Loss: 0.1098
Epoch 39 | Train Loss: 0.0899 | Val Loss: 0.1057
Epoch 40 | Train Loss: 0.0898 | Val Loss: 0.1078
Epoch 41 | Train Loss: 0.0901 | Val Loss: 0.1117
Epoch 42 | Train Loss: 0.0899 | Val Loss: 0.1000
Epoch 43 | Train Loss: 0.0900 | Val Loss: 0.1090
Epoch 44 | Train Loss: 0.0896 | Val Loss: 0.1000
Epoch 45 | Train Loss: 0.0896 | Val Loss: 0.1090
Epoch 46 | Train Loss: 0.0893 | Val Loss: 0.1078
Epoch 47 | Train Loss: 0.0893 | Val Loss: 0.1104
Epoch 48 | Train Loss: 0.0892 | Val Loss: 0.1022
Epoch 49 | Train Loss: 0.0896 | Val Loss: 0.1070
Epoch 50 | Train Loss: 0.0896 | Val Loss: 0.1116
Test MAE (Node 0): 4.56
Test RMSE (Node 0): 7.15
Test R2 (Node 0): 0.8952
FINAL_RESULT_JSON:{"model": "GNN (GCN)", "params": 7127, "time_sec": 95.88359689712524, "test_mae": 4.561502933502197, "test_rmse": 7.15118932723999, "test_r2": 0.8952385783195496}
