Using device: cuda
Loading data/METR-LA.h5...
Data shape: (34272, 207)
Normalized: mean=53.72, std=20.26
Starting training...
Epoch 1 | Train Loss: 0.2460 | Val Loss: 0.1362
Epoch 2 | Train Loss: 0.1403 | Val Loss: 0.1191
Epoch 3 | Train Loss: 0.1225 | Val Loss: 0.1110
Epoch 4 | Train Loss: 0.1166 | Val Loss: 0.1166
Epoch 5 | Train Loss: 0.1136 | Val Loss: 0.1110
Epoch 6 | Train Loss: 0.1075 | Val Loss: 0.1085
Epoch 7 | Train Loss: 0.1035 | Val Loss: 0.1159
Epoch 8 | Train Loss: 0.1020 | Val Loss: 0.1060
Epoch 9 | Train Loss: 0.1007 | Val Loss: 0.1051
Epoch 10 | Train Loss: 0.0989 | Val Loss: 0.1159
Epoch 11 | Train Loss: 0.0982 | Val Loss: 0.1044
Epoch 12 | Train Loss: 0.0974 | Val Loss: 0.1064
Epoch 13 | Train Loss: 0.0957 | Val Loss: 0.1092
Epoch 14 | Train Loss: 0.0956 | Val Loss: 0.1062
Epoch 15 | Train Loss: 0.0955 | Val Loss: 0.1098
Epoch 16 | Train Loss: 0.0948 | Val Loss: 0.1026
Epoch 17 | Train Loss: 0.0947 | Val Loss: 0.0982
Epoch 18 | Train Loss: 0.0939 | Val Loss: 0.1113
Epoch 19 | Train Loss: 0.0935 | Val Loss: 0.1057
Epoch 20 | Train Loss: 0.0933 | Val Loss: 0.1035
Epoch 21 | Train Loss: 0.0930 | Val Loss: 0.1025
Epoch 22 | Train Loss: 0.0930 | Val Loss: 0.1245
Epoch 23 | Train Loss: 0.0933 | Val Loss: 0.1028
Epoch 24 | Train Loss: 0.0925 | Val Loss: 0.1018
Epoch 25 | Train Loss: 0.0925 | Val Loss: 0.1156
Epoch 26 | Train Loss: 0.0920 | Val Loss: 0.1113
Epoch 27 | Train Loss: 0.0917 | Val Loss: 0.1131
Epoch 28 | Train Loss: 0.0916 | Val Loss: 0.1073
Epoch 29 | Train Loss: 0.0916 | Val Loss: 0.1162
Epoch 30 | Train Loss: 0.0919 | Val Loss: 0.1080
Epoch 31 | Train Loss: 0.0916 | Val Loss: 0.1065
Epoch 32 | Train Loss: 0.0914 | Val Loss: 0.1170
Epoch 33 | Train Loss: 0.0912 | Val Loss: 0.1081
Epoch 34 | Train Loss: 0.0910 | Val Loss: 0.1128
Epoch 35 | Train Loss: 0.0911 | Val Loss: 0.1103
Epoch 36 | Train Loss: 0.0909 | Val Loss: 0.1043
Epoch 37 | Train Loss: 0.0908 | Val Loss: 0.1116
Epoch 38 | Train Loss: 0.0909 | Val Loss: 0.1050
Epoch 39 | Train Loss: 0.0906 | Val Loss: 0.1121
Epoch 40 | Train Loss: 0.0904 | Val Loss: 0.1141
Epoch 41 | Train Loss: 0.0907 | Val Loss: 0.1076
Epoch 42 | Train Loss: 0.0904 | Val Loss: 0.1028
Epoch 43 | Train Loss: 0.0902 | Val Loss: 0.1068
Epoch 44 | Train Loss: 0.0906 | Val Loss: 0.1226
Epoch 45 | Train Loss: 0.0902 | Val Loss: 0.1082
Epoch 46 | Train Loss: 0.0904 | Val Loss: 0.1048
Epoch 47 | Train Loss: 0.0901 | Val Loss: 0.1066
Epoch 48 | Train Loss: 0.0900 | Val Loss: 0.1027
Epoch 49 | Train Loss: 0.0898 | Val Loss: 0.1072
Epoch 50 | Train Loss: 0.0900 | Val Loss: 0.1131
Test MAE: 4.58
Test R2: 0.8880
